"Address","Total Shares","Total Pool Percent","ZCL Amount","BTCP Amount"
"t1edSkv14ZEfdhxi4eLJP2RV19VRBiSeKEz","12312259.347031554","0.20%","56.58767176172731","122.59027678"
"t1WN1xqBZwXDA6KLgZQn4yQijLZjeeSe9ob","6270298.266076547","0.20%","56.26792793005916","121.89759084"
"t1JYsNxbGwhdb76G7bVBZ4cwStHH4hYFZU9","6292756.149039107","0.19%","56.243525746131105","121.84472649"
"t1a31gJdJiaxB2VjEAZ2pXFYopUzcb3Hhne","16329717.758077992","0.19%","55.90068248212871","121.10199844"
"t1LVonGB5cQrtSP2XxzTBhXfkTYrdUnGgma","18182436.878226705","0.19%","55.83250289782531","120.95429571"
"t1SR5ka5rCmr9AKUvGB1Tb6E9Z82F1FzCrH","6216948.657700238","0.19%","55.75864672095392","120.79429532"
"t1UindX3a9853oRoWVB2GyBP7DtXhnH1FUV","6234765.990420586","0.19%","55.722177640223244","120.71528952"
"t1Pr1MDVCxRZ7FoP6cdp4F6SRiNkL27UzBm","14742700.927344246","0.19%","54.205571377367455","117.42974735"
"t1dQZMGk1n5A6ztMBvXch9E2uCrGddL5Exr","11001399.641458882","0.19%","53.87965185215118","116.72368252"
"t1UA6hrFPCciRbqhzt4nBSWZTAFawrFvAcd","12916493.26241615","0.18%","50.66557533302886","109.76077845"
"t1UqvCNtBSrycWnVLwYzrDugid5nf4q2aRX","14180860.551445253","0.17%","49.5563676217403","107.35781547"
"t1dvrXN5dTqWEB5uCFuUNTdr8vYEKUZZG6X","9336770.618508387","0.17%","48.0460604696669","104.08591956"
"t1QTKcKWcnEMLEGAy8qa26Stooq849ZufCT","13538389.317015106","0.16%","47.441157214875346","102.77547057"
"t1fHiXixPf3kVTjPV4qSqi2hNR5rEj5zGhk","10294318.544984346","0.16%","45.04095802562427","97.57573229"
"t1KNLLoKztDrqTwPh8hs8fsNiiDZ6ihMzou","12813567.436900698","0.15%","44.45675992692896","96.31013849"
"t1K8bUqodiHvi7SLJL9y4R8CST4yo25ZWFr","13362160.135042151","0.15%","43.54548899302755","94.33598135"
"t1M5jUnsHY9SyyGKH7gJPHgdFChQ4bX7SAL","5986531.10887648","0.15%","42.19801677505479","91.41684743"
"t1RpAvcj1MLeVe9k44VgahUFF1GH8NtGqBD","11022561.053210827","0.14%","41.156526414546335","89.16058582"
"t1RRpb1DDA7FyL6HNyyebQCUdyd4o2Hu69p","5494347.793491425","0.14%","39.79884784005036","86.21934107"
"t1PjuabhMXLkSPF2jCCcQ5v8c6GtK1MA2x4","12297687.167497369","0.14%","39.42303190042942","85.40518176"
"t1cZLs3vEgoxQnXrJtmUFDPPYBVfraZhdMi","8430159.62282038","0.13%","38.852794462537794","84.16983202"
"t1WwHKozxYGGbRS8dimUHhAy9PSngHxHwZP","8602551.290602019","0.13%","38.531974006908776","83.47481371"
"t1e1AcAqmTV1J57NgGeuM4hCQ1aFkuaKdMG","9197387.823852263","0.13%","38.173797536074936","82.69886815"
"t1QoZrZiMMY48wtxQEecr2ZV7PXpieRofPo","5392668.382882084","0.13%","37.80269118468345","81.89491158"
"t1SMQqA2Sy4nSDqMR1tuTVBgpxieQDd6fQF","8611041.002300614","0.13%","37.74971920602135","81.78015426"
"t1d7EufXzBB2DEpeeFX4VSK11MQDEEoeUou","9539052.712033527","0.13%","37.14743837196115","80.47538642"
"t1KQkpQweYSZRneWJTMcrBtRMyXmNvkSBi5","11846367.092384864","0.13%","37.02404417993284","80.20806798"
"t1g5cLDbyxBs2kVhJvshSWf7D3sfFrY9Nca","11181257.572503055","0.13%","36.870632926116414","79.87572124"
"t1TqctDgNLFtN9T4vf9ri6K4zbNQv8K4awW","8115495.6296259975","0.12%","35.60432592276776","77.13242184"
